ATC-WHO,ATC-DIM
M02AB01,M02AP07
C09BA06,C09BA26
V03AB26,G04BA04
N05BB01,R06AX33
N06AA09,N06AA25
D04AB,D04AB11
V04CA02,V04CA03
V07AZ,V07AD01
V06DB,V06DB52
D11AH07,D11AH
V06DC,V06DC51
V04B,V04BA01
V06C,V06CX50
V06DB,V06DB50
B05XX,B05XX04
A16AX01,N07XB01
R07AA02,R07AA05
V07AB,V07AB01
D01AA20,D01AA91
N07CA52,N07CA22
S01XA20,S01XC05
S01XA20,S01XC07
S01XA20,S01XA28
B02BC30,B02BC51
N02BA01,N02BA13
C09DA06,C09DA26
R06AD02,N05CM22
A03BA01,V03AB44
S01ED51,S01ED67
G04CX,G04CP
C07BB07,C07BB27
N05CM09,N05CP01
D02AC,D11AB56
C07BB02,C07BB22
C09BA07,C09BA27
D08AG,D08AG52
C09BA04,C09BA54
A01F,D09AC04
A02AH,A02AH01
B05B,G04BP02
G04BX,G04BP51
V04B,V04BA05
G04BC,G04BC01
M03AX01,M03AX21
B05B,G04BP08
N05CD08,N03AE02
A11CB,A13AA02
A12AX,A12AX01
A02AC01,V03AE16
C09DA04,C09DA24
B03AC,B03AC06
C01EB04,C01EP01
G03DA04,G03DD01
D04AX,D04AX02
A01AD11,A01AD72
R06AA59,A04AB56
B05XC,B05XC30
A06AB58,V04CZ
C09DA03,C09DA23
V04CX,V04CY18
V04CX,V04CY10
S01ED51,S01ED69
V04B,V04BA20
J07BX,J07BX03
D03AX,D03AC50
V03AX,V03AX50
S01ED51,S01ED66
R07AA02,R07AA04
A11CC55,A11CC80
V03AB,V03AB43
A01AC,A01AC04
D05AX52,D05AX22
A06AD65,V04CZ10
G04BX,G04BX50
A01AD11,A01AE51
D08AE06,D08AE56
S01CA01,S01CA21
D02AC,D02AC54
C04AX02,G04BD20
R06AA02,A04AB02
V03AB,V03AB47
A03AX15,A05AP05
R02AA06,R02AA56
D10AF51,D10AF54
N04BA02,N04BA10
B01AC30,B01AC34
S01ED51,S01ED63
N01BB02,A01AE01
C03EA01,C03EA21
B05BB01,B05BB12
L01BC02,D11AF05
A09AA,A09AA50
C04AE02,N06DX13
B05B,A07XP03
M02AX10,M02AD01
R05X,R04AX01
R01AX10,R01AX28
