MEDICATION;ATC_CODE;CAT_MATCH;size;PIPE;INGREDIENT;STEP1;STEP2;STEP31;STEP32;STEP33;LEV1;LEV2;LEV3;TRUE12;TRUE123;TRUE13;TRUE23;MATCH;ATC_JOS_LVL1;ATC_CODE_LVL1;eval1;eval2;eval31;eval32;eval33;correct;level;kommentar;Kommentar Apotheke
PANTOPRAZOL HEXAL 20 mg magensaftres.Tabletten | (Pantoprazol);;No Match;24223;1;pantoprazol;A02BC02;A02BC02;A02BC02;;;95;;;1;1;1;1;0;A;;1;1;1;;;0;5;;
PANTOPRAZOL HEXAL 40 mg magensaftres.Tabletten | (Pantoprazol);;No Match;23289;1;pantoprazol;A02BC02;A02BC02;A02BC02;;;95;;;1;1;1;1;0;A;;1;1;1;;;0;5;;
METAMIZOL HEXAL Tropfen | (Metamizol);;No Match;21406;1;metamizol;N02BB02;;N02BB02;;;83;;;0;0;1;0;0;N;;1;;1;;;0;5;;
TOREM 10 Tabletten | (Torasemid);;No Match;13013;1;torasemid;C03CA04;;C03CA04;;;71;;;0;0;1;0;0;C;;1;;1;;;0;5;;
INHIXA 4.000 I.E. 40 mg/0,4 ml ILO F.Sp.+Sich-Sys. | (Enoxaparin natrium);;No Match;12027;1;enoxaparin natrium;B01AB05;;B01AB05;;;39;;;0;0;1;0;0;B;;1;;1;;;0;5;;
ZOPICLON HEXAL 7,5 mg Filmtabletten | (Zopiclon);;No Match;10473;1;zopiclon;N05CF01;;N05CF01;;;71;;;0;0;1;0;0;N;;1;;1;;;0;5;;
IBUHEXAL 600 Filmtabletten | (Ibuprofen);;No Match;10265;1;ibuprofen;;;M01AE01;;;48;;;0;0;0;0;0;M;;;;1;;;0;5;;
MOVICOL V 13,81 g Pulver z.Herst.e.Lsg.z.Einnehm. | (Natrium-Ion, Kalium-Ion, Chlorid-Ion);;No Match;9571;1;natrium-ion, kalium-ion, chlorid-ion;;;A06AD65;J05AF01;;64;51.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
LASIX 20 mg Inj.-Lsg. Ampullen | (Furosemid);;No Match;8036;1;furosemid;C03CA01;;C03CA01;;;69;;;0;0;1;0;0;C;;1;;1;;;0;5;;
Novalgin p.o./i.v. (bei Durchführung auswählen);;No Match;6429;0;;;;N02BB02;D01AC03;C01DX12;64;51.0;50.0;0;0;0;0;0;N;;;;1;0;0;0;5;;
CEFTRIAXON Kabi 2,0 g Plv.z.Herst.e.Inf.Lsg. | (Ceftriaxon, Natrium-Ion);;No Match;6180;1;ceftriaxon, natrium-ion;;;J01DD04;L04AA18;;72;59.0;;0;0;0;0;0;J;;;;1;0;;0;5;;
