concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
715754,moxidectin; systemic,Drug,ATC,ATC 5th,C,P02CX03,1970-01-01,2099-12-31,
715755,uramustine; oral,Drug,ATC,ATC 5th,C,L01AD08,1970-01-01,2099-12-31,
715756,vancomycin; ophthalmic,Drug,ATC,ATC 5th,C,S01AA28,1970-01-01,2099-12-31,
715757,remimazolam; parenteral,Drug,ATC,ATC 5th,C,N05CD14,1970-01-01,2099-12-31,
715759,mosapride; oral,Drug,ATC,ATC 5th,C,A03FA09,1970-01-01,2099-12-31,
715760,ipragliflozin; oral,Drug,ATC,ATC 5th,C,A10BK05,1970-01-01,2099-12-31,
715761,crofelemer; oral,Drug,ATC,ATC 5th,C,A07XA06,1970-01-01,2099-12-31,
715762,sotagliflozin; oral,Drug,ATC,ATC 5th,C,A10BK06,1970-01-01,2099-12-31,
715763,hexaminolevulinate; systemic,Drug,ATC,ATC 5th,C,V04CX06,1970-01-01,2099-12-31,
715764,Other hematological agents,Drug,ATC,ATC 4th,C,B06AX,1970-01-01,2099-12-31,
715765,Other sex hormones and modulators of the genital system,Drug,ATC,ATC 4th,C,G03XX,1970-01-01,2099-12-31,
715766,miltefosine; systemic,Drug,ATC,ATC 5th,C,P01CX04,1970-01-01,2099-12-31,
715767,"methacholine; inhalant, ophthalmic, parenteral, topical",Drug,ATC,ATC 5th,C,V04CX03,1970-01-01,2099-12-31,
715768,vonoprazan; oral,Drug,ATC,ATC 5th,C,A02BC08,1970-01-01,2099-12-31,
715769,atezolizumab; parenteral,Drug,ATC,ATC 5th,C,L01XC32,1970-01-01,2099-12-31,
715770,valsartan and nebivolol; oral,Drug,ATC,ATC 5th,C,C09DX05,1970-01-01,2099-12-31,
715771,avelumab; parenteral,Drug,ATC,ATC 5th,C,L01XC31,1970-01-01,2099-12-31,
715772,epacadostat; systemic,Drug,ATC,ATC 5th,C,L01XX58,1970-01-01,2099-12-31,
715773,roxadustat; oral,Drug,ATC,ATC 5th,C,B03XA05,1970-01-01,2099-12-31,
715774,valbenazine; oral,Drug,ATC,ATC 5th,C,N07XX13,1970-01-01,2099-12-31,
715775,edaravone; parenteral,Drug,ATC,ATC 5th,C,N07XX14,1970-01-01,2099-12-31,
715776,betrixaban; oral,Drug,ATC,ATC 5th,C,B01AF04,1970-01-01,2099-12-31,
715777,enasidenib; oral,Drug,ATC,ATC 5th,C,L01XX59,1970-01-01,2099-12-31,
715779,glecaprevir and pibrentasvir; oral,Drug,ATC,ATC 5th,C,J05AP57,1970-01-01,2099-12-31,
715783,latanoprostene bunod; ophthalmic,Drug,ATC,ATC 5th,C,S01EE06,1970-01-01,2099-12-31,
715784,metformin and ertugliflozin; systemic,Drug,ATC,ATC 5th,C,A10BD23,1970-01-01,2099-12-31,
715785,sitagliptin and ertugliflozin; oral,Drug,ATC,ATC 5th,C,A10BD24,1970-01-01,2099-12-31,
715786,angiotensin II; parenteral,Drug,ATC,ATC 5th,C,C01CX09,1970-01-01,2099-12-31,
715787,cytarabine and daunorubicin; systemic,Drug,ATC,ATC 5th,C,L01XY01,1970-01-01,2099-12-31,
715788,"carbon monoxide; inhalant, oral",Drug,ATC,ATC 5th,C,V04CX08,1970-01-01,2099-12-31,
715789,ibalizumab; parenteral,Drug,ATC,ATC 5th,C,J05AX23,1970-01-01,2099-12-31,
715790,patent blue; systemic,Drug,ATC,ATC 5th,C,V04CX09,1970-01-01,2099-12-31,
715791,cannabidiol; oral,Drug,ATC,ATC 5th,C,N03AX24,1970-01-01,2099-12-31,
715792,pegvaliase; parenteral,Drug,ATC,ATC 5th,C,A16AB19,1970-01-01,2099-12-31,
715793,amlodipine and celecoxib; oral,Drug,ATC,ATC 5th,C,C08CA51,1970-01-01,2099-12-31,
715795,plazomicin; parenteral,Drug,ATC,ATC 5th,C,J01GB14,1970-01-01,2099-12-31,
715796,elagolix; oral,Drug,ATC,ATC 5th,C,H01CC03,1970-01-01,2099-12-31,
715797,ivosidenib; oral,Drug,ATC,ATC 5th,C,L01XX62,1970-01-01,2099-12-31,
715798,tildrakizumab; parenteral,Drug,ATC,ATC 5th,C,L04AC17,1970-01-01,2099-12-31,
715799,patisiran; parenteral,Drug,ATC,ATC 5th,C,N07XX12,1970-01-01,2099-12-31,
715800,tafenoquine; oral,Drug,ATC,ATC 5th,C,P01BA07,1970-01-01,2099-12-31,
715801,tecovirimat; oral,Drug,ATC,ATC 5th,C,J05AX24,1970-01-01,2099-12-31,
715802,lanadelumab; parenteral,Drug,ATC,ATC 5th,C,B06AC05,1970-01-01,2099-12-31,
715803,"lamivudine, tenofovir disoproxil and doravirine; oral",Drug,ATC,ATC 5th,C,J05AR24,1970-01-01,2099-12-31,
715804,cemiplimab; parenteral,Drug,ATC,ATC 5th,C,L01XC33,1970-01-01,2099-12-31,
