ATC_CORRECT,unstructured,structured,total,percent structured,percent unstructured
N02BB02,35470,44905,80375,55.87,44.13
B05BB01,21781,46345,68126,68.03,31.97
A02BC02,55278,10490,65768,15.95,84.05
N02AA05,1482,44952,46434,96.81,3.19
B01AB13,5862,28329,34191,82.86,17.14
B01AB05,23583,7658,31241,24.51,75.49
C03CA04,16319,12535,28854,43.44,56.56
C07AB02,2870,23602,26472,89.16,10.84
C09AA05,10649,14817,25466,58.18,41.82
A06AD11,2952,21113,24065,87.73,12.27
C08CA01,3122,19903,23025,86.44,13.56
B01AC06,2187,19079,21266,89.72,10.28
H02AB02,1682,19304,20986,91.99,8.01
N05CF01,16373,2723,19096,14.26,85.74
M01AE01,15549,3220,18769,17.16,82.84
N02BE01,7921,10661,18582,57.37,42.63
C03CA01,13400,4583,17983,25.49,74.51
H03AA01,2778,14559,17337,83.98,16.02
A06AD65,12850,4357,17207,25.32,74.68
N05BA06,6614,10302,16916,60.9,39.1
C10AA01,2371,13890,16261,85.42,14.58
H02AB06,5394,10859,16253,66.81,33.19
J01CR01,6122,8878,15000,59.19,40.81
A11CC05,1400,11778,13178,89.38,10.62
C07AB07,1322,10458,11780,88.78,11.22
A12BA30,1187,9224,10411,88.6,11.4
C10AA05,5470,4774,10244,46.6,53.4
B01AX05,1270,8630,9900,87.17,12.83
J01CR05,2380,7465,9845,75.83,24.17
C09CA06,4278,5097,9375,54.37,45.63
M04AA01,6764,2551,9315,27.39,72.61
B01AB01,1705,7302,9007,81.07,18.93
C03AA03,895,7971,8866,89.91,10.09
J01DD04,6757,1830,8587,21.31,78.69
N03AX16,5454,2830,8284,34.16,65.84
B01AB06,7004,913,7917,11.53,88.47
A10BA02,603,7087,7690,92.16,7.84
B03BB01,1318,6188,7506,82.44,17.56
N05AD03,1637,5730,7367,77.78,22.22
A12BA01,2998,4082,7080,57.66,42.34
C03DA01,1090,5724,6814,84.0,16.0
A10AE04,851,5619,6470,86.85,13.15
J01DC02,3604,2848,6452,44.14,55.86
B01AF02,489,5889,6378,92.33,7.67
N05AX08,2282,3907,6189,63.13,36.87
A04AB02,2552,3510,6062,57.9,42.1
N03AX14,4772,1288,6060,21.25,78.75
N06AX11,4919,1072,5991,17.89,82.11
N04BA10,854,5136,5990,85.74,14.26
B01AF01,418,5554,5972,93.0,7.0
N05AH04,2607,3337,5944,56.14,43.86
N02AA03,1171,4756,5927,80.24,19.76
A03FA01,3289,2414,5703,42.33,57.67
N02AB03,4566,1130,5696,19.84,80.16
C02AC05,479,4846,5325,91.0,9.0
A02BC05,671,4509,5180,87.05,12.95
B05CB01,2492,2662,5154,51.65,48.35
N02AA01,2059,3071,5130,59.86,40.14
N02AX51,286,4519,4805,94.05,5.95
N05BA01,1779,3011,4790,62.86,37.14
G04CA02,4488,298,4786,6.23,93.77
J05AB01,924,3860,4784,80.69,19.31
J01EE01,409,4329,4738,91.37,8.63
V06DB50,0,4695,4695,100.0,0.0
B01AC04,709,3965,4674,84.83,15.17
C09CA03,1256,3344,4600,72.7,27.3
N05AH03,1583,2976,4559,65.28,34.72
C09CA01,97,4283,4380,97.79,2.21
A10BH01,388,3899,4287,90.95,9.05
B05BB11,3516,682,4198,16.25,83.75
J01CR02,361,3829,4190,91.38,8.62
A04AA02,1143,3038,4181,72.66,27.34
C02CA06,242,3860,4102,94.1,5.9
B05BA10,2600,1431,4031,35.5,64.5
C03BA10,3477,475,3952,12.02,87.98
R05CB01,696,3227,3923,82.26,17.74
J01MA02,325,3398,3723,91.27,8.73
A10AB01,1086,2609,3695,70.61,29.39
J01MA12,362,3175,3537,89.77,10.23
A11DA01,1485,1940,3425,56.64,43.36
J01XD01,1526,1816,3342,54.34,45.66
N06AB06,808,2532,3340,75.81,24.19
A02AH01,393,2892,3285,88.04,11.96
A06AB08,2676,553,3229,17.13,82.87
A12AX01,240,2952,3192,92.48,7.52
B03AA01,264,2925,3189,91.72,8.28
A01AB04,0,3176,3176,100.0,0.0
C01AA04,686,2462,3148,78.21,21.79
N05AH02,2962,183,3145,5.82,94.18
